"id","name"
"716a0646-5cc3-4d8d-8805-4dc3ecbe7120","Scope 1"
"7b9bd79f-935a-4658-b3c2-0cc32c47dc46","Scope 3"
"92062e00-1278-4e0e-ae23-f2121b2e91df","Scope 2"
